x,y,z,cluster
-1.71795,1.71795,-1.71795,1
-1.71795,5.15385,-1.71795,2
-1.71795,8.58975,-1.71795,3
-1.71795,1.71795,1.71795,4
-3.4359,3.4359,0.0,5
-1.71795,5.15385,1.71795,6
-3.4359,6.8718,0.0,7
-1.71795,8.58975,1.71795,8
-1.71795,1.71795,5.15385,9
-3.4359,3.4359,3.4359,10
-1.71795,5.15385,5.15385,11
-3.4359,6.8718,3.4359,12
-1.71795,8.58975,5.15385,13
0.0,3.4359,-3.4359,14
0.0,6.8718,-3.4359,15
1.71795,1.71795,-1.71795,16
1.71795,5.15385,-1.71795,17
1.71795,8.58975,-1.71795,18
0.0,0.0,0.0,19
1.71795,1.71795,1.71795,20
1.71795,5.15385,1.71795,21
3.4359,3.4359,0.0,22
1.71795,8.58975,1.71795,23
3.4359,6.8718,0.0,24
0.0,10.3077,0.0,25
0.0,0.0,3.4359,26
1.71795,1.71795,5.15385,27
1.71795,5.15385,5.15385,28
3.4359,3.4359,3.4359,29
1.71795,8.58975,5.15385,30
3.4359,6.8718,3.4359,31
0.0,10.3077,3.4359,32
0.0,3.4359,6.8718,33
0.0,6.8718,6.8718,34
