x,y,z,cluster
-1.71795,1.71795,-1.71795,1
-1.71795,5.15385,-1.71795,5
-1.71795,8.58975,-1.71795,5
-1.71795,1.71795,1.71795,1
-3.4359,3.4359,0.0,1
-1.71795,5.15385,1.71795,3
-3.4359,6.8718,0.0,3
-1.71795,8.58975,1.71795,3
-1.71795,1.71795,5.15385,4
-3.4359,3.4359,3.4359,3
-1.71795,5.15385,5.15385,3
-3.4359,6.8718,3.4359,3
-1.71795,8.58975,5.15385,3
0.0,3.4359,-3.4359,5
0.0,6.8718,-3.4359,5
1.71795,1.71795,-1.71795,1
1.71795,5.15385,-1.71795,5
1.71795,8.58975,-1.71795,5
0.0,0.0,0.0,1
1.71795,1.71795,1.71795,1
1.71795,5.15385,1.71795,2
3.4359,3.4359,0.0,5
1.71795,8.58975,1.71795,2
3.4359,6.8718,0.0,2
0.0,10.3077,0.0,2
0.0,0.0,3.4359,1
1.71795,1.71795,5.15385,4
1.71795,5.15385,5.15385,4
3.4359,3.4359,3.4359,4
1.71795,8.58975,5.15385,2
3.4359,6.8718,3.4359,2
0.0,10.3077,3.4359,2
0.0,3.4359,6.8718,4
0.0,6.8718,6.8718,4
